Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),predicted label
8.625301917,-2.670675403,7.770825056,-1.919019924,8.438060597,1.0
8.635275917,-2.450460491,7.654984698,-1.449658077,8.167316321,1.0
8.645250917,-2.412258292,7.592921766,-1.104396949,8.043080482,1.0
8.655224917,-2.560675244,7.603112293,-0.8643659694,8.069169894,1.0
8.665198917,-2.821041816,7.54714333,-0.6885681152,8.086518127,1.0
8.675173917,-3.148856022,7.333184938,-0.5217528999,7.997694773,1.0
8.685147917,-3.527856168,7.055281397,-0.4951925075,7.90366879,1.0
8.695121917,-4.053624936,6.930743304,-0.7675227758,8.065740455,1.0
8.705096917,-4.574759785,6.687562283,-1.141780099,8.182638827,1.0
8.715070917,-4.706996906,5.927546455,-1.46930823,7.710414614,1.0
8.725044917,-4.346001506,4.468326427,-1.642201626,6.445967447,1.0
8.735019917,-3.31245293,2.158957495,-1.683933496,4.297566043,1.0
8.744993917,-1.281689206,-1.341985109,-1.644585536,2.479579165,1.0
8.754967917,2.456705317,-6.762075691,-1.493674162,7.347933803,1.0
8.764942917,8.673739818,-14.7601943,0.1079863787,17.12041937,1.0
8.774916917,15.32831679,-21.55495593,5.469366823,27.00902431,1.0
8.784890917,17.97034142,-21.95393952,12.24599916,30.90102145,1.0
8.794865917,17.49296538,-24.90112332,13.25479472,33.1927607,1.0
8.804839917,18.72983275,-28.91927144,11.23868528,36.24139819,1.0
8.814814917,19.38886658,-26.25434443,12.51700591,34.95560307,1.0
8.824788917,18.58881078,-22.62692831,14.12144329,32.51056646,0.0
8.834762917,17.65234761,-19.83981321,12.49537472,29.34890038,0.0
8.844737917,16.75005792,-16.07870635,9.111981615,24.94228231,0.0
8.854711917,15.61824513,-12.08209702,6.353002145,20.74288518,0.0
8.864685917,14.06235718,-8.331359029,4.442617389,16.93807197,0.0
8.874660917,12.29684654,-5.186285571,2.835623603,13.64370749,0.0
8.884634917,10.14631547,-2.502204841,0.7790069997,10.4792938,0.0
8.894608917,7.094433183,0.3095404869,-1.911169745,7.353867506,0.0
8.904583917,3.905537183,2.465665591,-4.532779115,6.471384241,0.0
8.914557917,0.909189409,3.541302425,-6.793792158,7.715118932,0.0
8.924531917,-1.826887102,4.547207705,-8.148494961,9.50855323,0.0
8.934506917,-3.922581816,6.451934695,-8.695567474,11.51637977,0.0
8.944480917,-4.931996595,8.520725201,-8.732594383,13.15999822,0.0
8.954454917,-4.745824757,9.807129017,-8.764482758,13.98280337,0.0
