Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.549858458,19.74275878,-30.67879686,4.60020219,36.77127903,1
1.559827458,19.13039158,-31.18309349,4.591334302,36.87055129,1
1.569797458,19.04083563,-29.88387257,2.190916622,35.50210384,1
1.579766458,21.30474655,-28.2403255,3.169956869,35.51699363,1
1.589736458,23.03342908,-23.83478531,4.560556898,33.4579516,1
1.599705458,22.03648115,-16.13756676,6.7124761,28.12623149,1
1.609675458,19.72522182,-8.260958553,10.56604615,23.85307408,1
1.619644458,16.65188551,-1.94529965,12.28664666,20.78535946,1
1.629614458,13.32243297,2.008682883,12.27944406,18.22928341,1
1.639584458,10.57978828,3.4869011,11.28498821,15.85690255,1
1.649553458,8.558068444,4.17049382,9.515420784,13.46019268,1
1.659523458,7.275001634,5.105700999,7.378636515,11.55154138,1
1.669492458,6.853869376,5.90818574,5.213388001,10.44325613,1
1.679462458,6.626806789,6.443711171,3.321165866,9.821716988,1
1.689431458,5.683076123,6.824711065,1.789547806,9.059609081,1
1.699401458,4.714675469,7.342904765,-0.1003355893,8.726768153,1
1.709370458,3.790466902,8.040449526,-1.928290392,9.095865641,1
1.719340458,2.201824602,8.214907052,-3.462461493,9.182666772,1
1.729310458,0.1496717638,7.752062511,-4.69341587,9.063389396,1
1.739279458,-1.920150191,7.543519226,-5.627656213,9.605320063,1
1.749249458,-3.624734591,7.07729324,-6.489581993,10.26359854,1
1.759218458,-5.091847191,6.526694856,-6.958339823,10.81402546,1
1.769188458,-6.365173125,5.844106688,-6.764770088,10.97411164,1
1.779157458,-7.159985148,4.711472949,-6.667983466,10.85934474,1
1.789127458,-7.416874382,3.892575367,-7.194062136,11.0415895,1
1.799096458,-7.319304233,3.790330954,-7.425946337,11.09430044,1
1.809066458,-7.133074508,3.915937333,-7.203914695,10.86792087,1
1.819035458,-6.983681656,4.108062513,-6.926860753,10.65970858,1
1.829005458,-7.031900135,4.19733751,-6.939271469,10.73399973,1
1.838975458,-7.061343205,4.198824164,-7.103802177,10.86078715,1
1.848944458,-7.093114051,4.273884872,-7.231445725,10.99418783,1
1.858914458,-7.08352988,4.377138514,-7.310379628,11.08049581,1
1.868883458,-7.133862128,4.490241206,-7.191250795,11.08008768,1
1.878853458,-7.305126489,4.581374448,-6.891858151,11.03864003,1
1.888822458,-7.37159062,4.534821256,-6.577892491,10.87076914,1
1.898792458,-7.308564652,4.374841728,-6.246389862,10.56275266,1
1.908761458,-7.119442309,4.049358515,-5.878381312,10.08162338,1
1.918731458,-7.027767323,3.535417787,-5.385333563,9.533651455,1
1.928701458,-6.849549453,2.779228377,-4.737277589,8.779649027,1
1.938670458,-6.358889122,1.70854735,-4.224839011,7.823290202,1
1.948640458,-5.48045139,0.2860782418,-3.748579788,6.645979132,1
1.958609458,-3.890537905,-2.107330528,-3.25279642,5.49161285,1
1.968579458,-1.196168999,-6.106357234,-2.851674795,6.844740176,1
1.978548458,1.863312331,-11.29372863,-1.854980926,11.59574032,1
1.988518458,4.95365819,-16.02750579,0.8957995775,16.79946809,1
1.998487458,7.988356097,-19.31876197,3.875063249,21.26133845,1
2.008457458,9.535728164,-20.66482493,4.623648355,23.22376423,1
2.018430458,11.34415736,-20.62307347,4.99994241,24.06242901,1
2.028399458,14.6308726,-22.23526777,4.725619118,27.03333206,1
2.038369458,17.72950396,-24.12322846,3.681581222,30.16321439,1
2.048338458,20.35286428,-24.03701009,3.125059608,31.65095474,1
2.058308458,23.23501535,-22.78645439,2.162519034,32.6154094,1
2.068277458,24.06925398,-18.57425121,1.339480454,30.4323184,1
2.078247458,22.07496519,-11.91719853,2.171227,25.18010992,1
2.088216458,19.22430021,-6.237130212,3.880075774,20.57985665,1
2.098186458,16.1966938,-2.070635303,4.640390103,16.97508884,1
2.108156458,13.13222187,0.4732110697,4.514560946,13.89461912,1
2.118125458,10.08292113,2.013751835,4.038883813,11.04685826,1
2.128095458,7.519314092,2.852896863,3.161754395,8.641515826,1
2.138064458,5.607634177,3.33824032,1.919278371,6.802428902,1
2.148034458,4.090582262,3.904218636,0.6608394492,5.693197272,1
2.158003458,3.034710771,4.501828049,-0.5372708255,5.455692915,1
2.167973458,2.505731882,5.334969156,-1.85612625,6.179465415,1
2.177942458,2.062983052,6.46284443,-3.184689513,7.494431566,1
2.187912458,1.376695935,7.585816814,-4.270986699,8.813695923,1
2.197882458,0.4844605279,8.29588865,-5.013876325,9.705432824,1
2.207851458,-0.6819940907,8.760692593,-5.177724663,10.19920013,1
2.217821458,-1.893839475,9.254279455,-5.175765846,10.77111268,1
2.227790458,-2.922945337,9.529723073,-5.604526967,11.43546911,1
2.237760458,-3.945196508,9.386012546,-6.074867054,11.85604558,1
2.247729458,-4.703610198,8.648030196,-6.272052122,11.67266092,1
2.257699458,-4.993286524,7.841186941,-6.274467022,11.21543844,1
2.267668458,-5.157575743,7.584401788,-6.312794352,11.1344111,1
2.277638458,-5.392516868,7.465762367,-6.46784263,11.25388085,1
2.287608458,-5.631273885,7.236347446,-6.611828561,11.30452329,1
2.297577458,-5.813067328,7.093585922,-6.736315198,11.37930821,1
2.307547458,-5.974647532,7.030068787,-6.727156119,11.41809571,1
2.317516458,-6.16514397,6.971058102,-6.639460164,11.4318451,1
2.327486458,-6.342230989,6.984207906,-6.521086791,11.46854947,1
2.337455458,-6.525008519,7.072333632,-6.266023643,11.4828869,1
2.347425458,-6.703861982,7.151693212,-5.957929173,11.47106801,1
2.357394458,-6.828756754,7.198187932,-5.669624019,11.42761851,1
2.367364458,-6.889617498,7.268808264,-5.46776644,11.41047206,1
2.377334458,-6.87852533,7.399831502,-5.173219968,11.35049875,1
2.387303458,-6.875694693,7.544450687,-4.774568792,11.26900265,1
2.397273458,-6.834136192,7.608976466,-4.263441452,11.08056286,1
2.407242458,-6.814037558,7.453803642,-3.532823378,10.69911854,1
2.417212458,-6.816201612,7.031803656,-2.78135004,10.18050957,1
2.427181458,-6.668114444,5.950120801,-2.288916541,9.22533613,1
2.437151458,-5.795857219,3.27212556,-1.991081156,6.947169981,1
2.447120458,-3.655647066,-1.421918886,-1.712418061,4.279951449,1
2.457090458,0.5654959202,-8.930655949,-1.092758213,9.015016463,1
2.467060458,6.614688435,-20.80316772,0.5041714188,21.83529434,1
2.477029458,12.82984949,-28.65825173,5.416488698,31.86281187,1
2.486999458,15.56531847,-26.98923185,7.240176787,31.98621477,1
2.496968458,14.13026791,-24.19481709,5.599839839,28.57292164,1
2.506938458,16.24938657,-24.34759782,3.907108037,29.53156915,1
2.516907458,19.50973555,-24.78044614,4.618806568,31.875283,1
2.526877458,23.32638862,-24.99135521,4.797572323,34.52107967,1
2.536846458,28.68584358,-24.46422404,0.5368746766,37.7049614,1
2.546816458,26.92865704,-17.54802861,-1.017033116,32.15773988,1
2.556786458,21.00743201,-10.64222953,2.103042326,23.64301241,1
2.566755458,16.40191704,-5.552696663,3.382556075,17.64361098,1
2.576725458,13.09811974,-1.210533854,2.232630951,13.34206783,1
2.586694458,10.79605808,1.224670667,1.849569036,11.0215967,1
2.596664458,8.631666178,2.500629601,1.338315396,9.085697415,1
2.606633458,6.810025198,3.179586648,0.1970850813,7.51831477,1
2.616603458,5.38895299,3.558018445,-1.035734119,6.540111218,1
2.626573458,3.84816021,3.995306561,-1.828977481,5.840887787,1
2.636542458,2.180807955,4.618736109,-2.312905912,5.606976043,1
2.646512458,0.6783553684,5.175265909,-2.875335845,5.959119017,1
2.656481458,-0.585805639,5.50100903,-3.688530053,6.64902418,1
2.666451458,-1.527082229,6.11443867,-4.809368788,7.927696294,1
2.676420458,-2.138694554,5.732624259,-5.981659513,8.55670765,1
2.686390458,-2.522780609,5.177589008,-6.839672921,8.941642779,1
2.696359458,-2.726090051,6.219141253,-7.507388695,10.12275506,1
