Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.3487885,0.1397636569,-0.03130891621,2.370461079,2.374784171,0
1.3588695,0.02202763081,-0.3925244638,2.360916084,2.393425459,0
1.3689505,-0.4339616346,-0.577802555,2.219915303,2.334566865,0
1.3790305,-1.016944238,-0.9514153692,1.798493753,2.274631084,0
1.3891115,-1.571697654,-1.475872899,1.457578715,2.602493043,0
1.3991915,-1.815826508,-1.849693581,1.58883365,3.040227725,0
1.4092725,-2.038665651,-2.010735256,2.037971148,3.514618088,0
1.419353625,-2.022356597,-2.084235342,2.228315413,3.660512634,0
1.429433625,-1.845016394,-2.050831953,2.112664066,3.474672164,0
1.439514625,-1.711068377,-2.090756156,1.985019786,3.352509486,0
1.449595625,-1.404266142,-2.277423254,1.892332063,3.277123847,0
1.459675625,-1.297280806,-2.703180368,1.721049721,3.457185811,0
1.469756625,-1.357796565,-3.12491372,1.583244881,3.757041605,0
1.479837625,-1.403211889,-3.3272879,1.473035245,3.899959129,0
1.489917625,-1.362649169,-3.402627228,1.172445237,3.848286975,0
1.499998625,-1.217236517,-3.355462417,0.9271087861,3.687861639,0
1.510078625,-1.08528591,-3.23393798,0.6934015699,3.480949023,0
1.520159625,-1.003106802,-3.068929846,0.3459937835,3.247193458,0
1.530240625,-0.8110602665,-2.855926305,0.06059001803,2.969478905,0
1.540320625,-0.7019985849,-2.542589221,-0.03848988175,2.637999892,0
1.550401625,-0.8331966555,-2.294469641,0.01320476711,2.441102613,0
1.560482625,-1.00059016,-2.246766594,-0.1131699353,2.462102401,0
1.570562625,-1.135769016,-2.298559769,-0.3428339481,2.586674194,0
1.580643625,-1.308126807,-2.415674821,-0.1784453273,2.752911789,0
1.590723625,-1.681585547,-2.343167008,0.1907502079,2.890423363,0
1.600804625,-2.025582506,-2.141749139,0.5113144505,2.991908477,0
1.610885625,-2.068890494,-1.872648581,0.5536003447,2.844924238,0
1.620965625,-1.696760826,-1.46431383,0.5062283961,2.297711793,0
1.631046625,-1.079004246,-0.852508547,0.5472071452,1.480019137,0
1.641127625,-0.7335133231,-0.4726690328,0.5543119508,1.033788928,0
1.651207625,-0.7923532695,-0.5036195147,0.3441242094,0.9999388935,0
1.661288625,-1.196224548,-0.8825810695,0.06913338482,1.488180748,0
1.671368625,-1.527021418,-1.497058823,0.01794861317,2.138527924,0
1.681449625,-1.59754527,-2.217408602,0.2320607134,2.742791274,0
1.691530625,-1.584286124,-2.900631485,0.3888981669,3.327892324,0
1.701610625,-1.912235985,-3.34333383,0.1431772614,3.854222008,0
1.711691625,-2.351130915,-3.07190988,-0.03767368354,3.868574181,0
1.721772625,-2.652893436,-2.495502763,0.1620023721,3.645767737,0
1.731852625,-2.599265113,-1.901299353,0.3230586648,3.236585432,0
1.741933625,-2.052482622,-1.376470233,0.4688800371,2.515393349,0
1.752013625,-1.50073526,-0.8090885854,0.5171395198,1.781646413,0
1.762094625,-1.288109449,-0.3155850461,0.5879088094,1.450674547,0
1.772175625,-1.123502142,-0.02897353828,0.6238190458,1.285397499,0
1.782255625,-1.168704627,-0.131265606,0.4383236575,1.25508119,0
1.792336625,-1.393484461,-0.4021451801,0.06719781026,1.451907447,0
1.802417625,-1.501946803,-0.6347579437,-0.09745729744,1.633480875,0
