Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
105.68913137,-10.46829006,-0.06588584125,0.01216220856,10.46850446,1
105.69910137,-10.52822285,-0.1583078089,-0.1118753618,10.53000731,1
105.70907037,-10.5253238,-0.2513460914,-0.1272921397,10.52909395,1
105.71904037,-10.48878923,-0.3445665512,-0.1121174731,10.49504626,1
105.72901037,-10.5346852,-0.4723009871,-0.06260966459,10.54545307,1
105.73898037,-10.5839094,-0.5625056541,-0.0624599576,10.59903071,1
105.74895037,-10.66862269,-0.6363165191,-0.02635281622,10.68761448,1
105.75891937,-10.64913743,-0.7076940653,0.01469986361,10.67263674,1
105.76888937,-10.62478611,-0.7526867086,0.07835382264,10.65170205,1
105.77885937,-10.56408734,-0.8219227121,0.1425562505,10.59697223,1
105.78882937,-10.52628158,-0.9074195299,0.1065093355,10.56585814,1
105.79879937,-10.17135208,-0.8688336807,-0.02767487168,10.2084299,1
105.80876837,-9.367736489,-1.137796245,-0.1286340666,9.437458023,1
105.81873837,-8.546378106,-1.874686482,-0.1664462195,8.751156065,1
105.82870837,-7.985450031,-2.586764643,-0.462048735,8.406679044,1
105.83867837,-7.139032236,-2.017249054,-0.1059977954,7.419320086,1
105.84864837,25.05650489,30.99922896,6.407493517,40.37123489,1
105.85861737,69.84759181,25.08731737,12.07233451,75.19176042,1
105.86858737,68.76987044,-48.3182654,-1.442676501,84.05968812,1
105.87855737,63.68942591,-13.18198051,-10.49385994,65.88041195,1
105.88852737,32.88645757,8.273629469,-3.683447653,34.11069954,1
105.89849737,12.73874168,0.8173486546,-1.894065177,12.90469222,1
105.90846637,9.327719899,-1.096326622,-1.147433041,9.461759517,1
105.91843637,4.01833582,-0.649624051,-0.4618879366,4.096629668,1
105.92840637,0.6330213207,-0.3408145757,0.2214761384,0.7522780386,1
105.93837637,-2.330111344,0.3530420172,0.4685701346,2.402834891,1
105.94834537,-4.828769265,0.64913135,-0.2682018783,4.879581577,1
105.95831537,-6.604496153,0.760735401,-0.6531562078,6.680172215,1
105.96828537,-7.892751782,1.005619058,-0.7847846335,7.995166496,1
105.97825537,-8.848901349,0.9855438859,-0.7799806342,8.937713445,1
105.98822537,-9.593814989,0.9355551622,-0.7792491475,9.670769294,1
105.99819437,-9.978550669,1.017331177,-1.008651863,10.08086379,1
106.00816437,-10.21834147,1.045154203,-1.131697088,10.33380802,1
106.01813437,-10.50332073,1.003234856,-1.192929057,10.61834763,1
106.02810437,-10.57427319,1.016776496,-1.198276336,10.69041412,1
106.03807437,-10.54436234,1.047565814,-1.101608412,10.65338033,1
106.04804337,-10.49809215,1.111284531,-1.037770778,10.60763217,1
106.05801337,-10.45565774,1.154287586,-1.011914975,10.56774008,1
106.06798337,-10.40065298,1.190880923,-0.9628164896,10.51279199,1
106.07795337,-10.40566404,1.249644125,-0.8983422393,10.51886274,1
106.08792337,-10.48294202,1.329135122,-0.6914654106,10.58946637,1
106.09789237,-10.58600504,1.380459495,-0.499647026,10.68732044,1
106.10786237,-10.61422838,1.372597183,-0.4846277948,10.71357696,1
106.11783237,-10.56874055,1.387327781,-0.4818432411,10.67029185,1
106.12780237,-10.59613359,1.437170763,-0.5415603429,10.70685735,1
106.13777237,-10.66892207,1.480656506,-0.5106478679,10.78327422,1
106.14774137,-10.65713525,1.604863792,-0.4028280618,10.7848222,1
106.15771137,-10.57707283,1.720418368,-0.3918429708,10.72323878,1
106.16768137,-10.5225417,1.821888755,-0.3582237466,10.68510584,1
106.17765137,-10.46891572,1.940026778,-0.3401466044,10.65258653,1
106.18762137,-10.43456449,2.032009473,-0.3786107218,10.63731849,1
106.19759037,-10.44376099,2.095223137,-0.4905334461,10.66314807,1
