Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
1.086918125,0.5561269265,0.3671338069,-0.670714227,0.9454744655,1
1.096999125,0.5746362877,0.04057149053,-0.7378624821,0.9361057373,1
1.107080125,0.4896651345,-0.1716988099,-0.6702569016,0.8476418698,1
1.117161125,0.4758510876,-0.3003241056,-0.3715970597,0.6743242549,1
1.127242125,0.4855188739,-0.3094159412,0.03114738688,0.5765734657,1
1.137323125,0.4043799859,-0.0886601615,0.2665750732,0.4923881263,1
1.147404125,0.2738023049,0.3864670408,0.1798567721,0.5066289907,1
1.157485125,-0.02594731182,0.8491858667,-0.08454313695,0.8537783326,1
1.167566125,-0.2213492721,1.400035681,-0.2545228654,1.440096281,1
1.177646125,-0.5960385588,2.035956636,-0.5704035614,2.196757067,1
1.187727125,-0.767005882,2.635280453,-1.111591364,2.961188351,1
1.197808125,-1.031005915,2.842018118,-1.63960897,3.439237961,1
1.207889125,-1.194330342,3.038890361,-1.961008195,3.808783629,1
1.217970125,-1.367136322,3.264103473,-2.188944941,4.161119219,1
1.228051125,-1.409038639,3.309958507,-2.495551879,4.378241016,1
1.238132125,-1.27080666,3.30157477,-2.707673661,4.454979481,1
1.248213125,-0.9939053312,3.533456631,-2.69280653,4.552402726,1
1.258293125,-0.6242621917,3.628701342,-2.419909374,4.406034282,1
1.268374125,-0.3172734296,3.170803546,-1.921092178,3.720920949,1
1.278455125,0.07226690769,2.415631551,-1.179543099,2.689204384,1
1.288536125,0.2571693152,1.86075359,-0.6337077838,1.982454422,1
1.298617125,0.346759184,1.483183672,-0.02215685427,1.523340626,1
1.308698125,0.3991379571,1.011499311,0.490781368,1.19302486,1
1.318779125,0.3850979152,0.3811144996,0.9515413767,1.094979296,1
1.328860125,0.1507859507,-0.3418533701,1.192140267,1.249319233,1
1.338940125,0.241748161,-1.044289327,0.7269796443,1.295176349,1
1.349021125,0.1719788915,-1.697844899,0.2606782293,1.726327657,1
1.359102125,0.4443220237,-2.900538222,0.1333328891,2.9374005,1
1.369183125,1.197848612,-4.71359315,-0.04158196248,4.86359237,1
1.379264125,2.398847996,-6.653921497,0.09173535839,7.073723092,1
1.389345125,4.383346503,-9.114179583,0.83733875,10.14806052,1
1.399426125,6.37491751,-12.26558031,1.604022231,13.91606701,1
1.409507125,7.852945107,-15.10101914,2.322004765,17.17851077,1
1.419588125,8.145586556,-16.63968822,2.506758653,18.69528398,1
1.429668125,7.383454036,-16.93635021,2.261932079,18.61374999,1
1.439749125,6.399178777,-16.20153296,2.030146843,17.53740732,1
1.449830125,5.849484957,-15.31815082,2.327935596,16.56144628,1
1.459911125,5.886144075,-14.86696797,2.553535209,16.19240472,1
1.469992125,5.967221568,-14.261511,2.613941039,15.67900243,1
1.480073125,5.933673168,-13.4819263,2.46665494,14.93503266,1
1.490154125,5.574237805,-12.87574311,1.787325425,14.14395348,1
1.500235125,4.674473815,-12.26025116,1.036451134,13.16201713,1
1.510315125,3.315171593,-11.03606991,0.3830557752,11.52961115,1
1.520396125,1.500716549,-8.839149363,-0.1348834976,8.966655183,1
1.530477125,-0.2719531229,-5.906890581,-0.7137924919,5.956073754,1
1.540558125,-2.18950218,-2.999681271,-1.0923674,3.871081769,1
